lecture_id,part,tags,video_length,deployed_at
l451,2,40,215000,1570425380455
l452,2,48,227000,1570425384895
l453,2,26,171000,1570425388464
l454,2,49,-1,1570425391825
l455,2,42,191000,1570425394449
l683,2,23,177000,1570425397257
l684,2,30,137000,1570425401580
l685,2,27,144000,1570425407893
l686,2,51,-1,1570425409516
l687,2,189,162000,1570425410840
l688,2,189,213000,1570425412172
l689,2,35,170000,1570425414267
l690,2,43,116000,1570425415914
l691,2,190,128000,1570425417608
l692,2,42,138000,1570425420043
l693,2,25,161000,1570425421923
l694,2,40,167000,1570425423548
l695,2,41,140000,1570425424990
l696,2,192,149000,1570425426697
l697,2,190,169000,1570425428204
l698,2,35,147000,1570425429473
l699,2,40,146000,1570425431347
l700,2,191,122000,1570425434456
l701,2,50,128000,1570425436771
l702,2,48,116000,1570425438939
l703,2,33,213000,1570425440905
l704,2,42,128000,1570425441943
l705,2,26,156000,1570425442225
l706,2,193,134000,1570425442509
l707,2,188,130000,1570425442789
l708,2,49,103000,1570425443071
l709,2,30,252000,1570425447299
l710,2,30,214000,1570425447580
l711,2,23,130000,1570425449409
l712,2,27,135000,1570425455925
l713,2,30,129000,1570425456207
l714,2,30,110000,1570425456497
l715,2,51,150000,1570425456774
l867,2,190,163000,1570425457055
l868,2,40,137000,1570425457335
l869,2,41,134000,1570425457613
l870,2,191,166000,1570425457895
l871,2,35,122000,1570425458174
l872,2,50,117000,1570425458456
l873,2,42,112000,1570425458731
l874,2,189,124000,1570425459010
l875,2,50,113000,1570425459296
l876,2,25,138000,1570425459575
l877,2,189,126000,1570425459850
l878,2,189,109000,1570425460134
l879,2,192,126000,1570425460429
l880,2,189,112000,1570425460706
l881,2,33,115000,1570425460985
l888,2,205,116000,1570425461267
l882,2,42,118000,1570425461551
l884,2,40,107000,1570425462117
l459,3,57,249000,1570425467597
l460,3,58,166000,1570425474350
l461,3,56,141000,1570425478377
l462,3,55,120000,1570425483199
l463,3,53,157000,1570425486721
l464,3,52,181000,1570425490998
l465,3,54,165000,1570425497875
l716,3,55,306000,1570425501252
l717,3,55,370000,1570425504872
l718,3,53,390000,1570425508493
l719,3,56,358000,1570425513426
l569,6,120,206000,1570426415007
l720,3,57,360000,1570425517441
l721,3,52,372000,1570425523933
l722,3,52,359000,1570425528344
l723,3,54,355000,1570425532350
l724,3,58,312000,1570425535921
l725,3,57,307000,1570425540050
l726,3,58,328000,1570425545009
l727,3,54,310000,1570425548997
l466,4,59,174000,1570425558534
l467,4,66,180000,1570425564629
l468,4,61,209000,1570425573318
l728,4,194,211000,1570425583861
l469,4,69,229000,1570425593560
l470,4,62,176000,1570425604463
l471,4,70,211000,1570425616097
l472,4,68,175000,1570425624064
l473,4,65,158000,1570425631532
l474,4,60,252000,1570425641071
l475,4,63,228000,1570425650937
l476,4,64,149000,1570425658939
l477,4,67,194000,1570425669158
l478,4,57,226000,1570425671285
l479,4,58,184000,1570425674444
l480,4,56,197000,1570425678601
l481,4,55,258000,1570425682638
l482,4,53,212000,1570425688890
l483,4,52,232000,1570425692819
l484,4,54,205000,1570425698893
l729,4,52,329000,1570425701754
l730,4,52,351000,1570425704627
l731,4,53,421000,1570425707554
l732,4,57,390000,1570425710482
l733,4,58,459000,1570425716061
l734,4,52,322000,1570425719029
l735,4,56,320000,1570425722083
l736,4,53,381000,1570425726951
l737,4,54,288000,1570425729930
l738,4,58,370000,1570425734265
l739,4,53,277000,1570425737188
l740,4,57,329000,1570425740092
l485,5,77,190000,1570425759703
l486,5,74,-1,1570425792892
l487,5,85,222000,1570425800647
l488,5,76,264000,1570425815178
l489,5,83,381000,1570425826196
l490,5,71,342000,1570425831964
l491,5,86,187000,1570425841330
l492,5,98,196000,1570425848140
l648,5,78,258000,1570425858770
l494,5,134,268000,1570425872135
l495,5,119,261000,1570425877560
l496,5,88,305000,1570425887384
l649,5,120,206000,1570425892110
l650,5,94,320000,1570425901471
l499,5,73,269000,1570425908192
l500,5,133,153000,1570425916479
l501,5,105,181000,1570425924310
l502,5,107,178000,1570425930967
l503,5,92,295000,1570425938663
l504,5,103,263000,1570425956244
l505,5,100,194000,1570425960623
l506,5,106,226000,1570425969459
l507,5,84,300000,1570425988513
l508,5,96,280000,1570425999036
l509,5,118,202000,1570426003802
l510,5,82,392000,1570426013565
l511,5,80,261000,1570426019867
l512,5,75,150000,1570426023606
l513,5,121,273000,1570426028788
l514,5,129,276000,1570426033609
l515,5,101,200000,1570426038864
l516,5,130,326000,1570426055160
l517,5,72,207000,1570426060519
l518,5,144,-1,1570426062937
l519,5,93,239000,1570426068361
l521,5,81,393000,1570426080187
l522,5,114,370000,1570426087969
l523,5,116,236000,1570426094022
l524,5,87,256000,1570426097984
l525,5,138,249000,1570426101603
l526,5,128,154000,1570426104854
l527,5,135,195000,1570426108999
l528,5,89,193000,1570426112193
l529,5,115,225000,1570426117691
l530,5,124,242000,1570426124003
l531,5,113,202000,1570426126589
l532,5,104,134000,1570426130381
l534,5,122,137000,1570426136407
l535,5,99,266000,1570426141639
l536,5,111,294000,1570426148512
l537,5,91,152000,1570426152257
l538,5,132,258000,1570426156519
l539,5,131,-1,1570426158077
l540,5,137,283000,1570426165008
l541,5,117,-1,1570426168016
l542,5,125,251000,1570426173713
l543,5,95,253000,1570426178473
l544,5,97,178000,1570426181773
l545,5,90,342000,1570426191554
l546,5,79,175000,1570426196896
l547,5,126,172000,1570426201559
l548,5,110,133000,1570426205581
l549,5,109,217000,1570426211607
l550,5,145,223000,1570426215961
l551,5,123,151000,1570426220326
l552,5,140,176000,1570426224905
l553,5,102,110000,1570426227166
l554,5,112,131000,1570426231009
l555,5,136,104000,1570426233956
l556,5,141,107000,1570426236237
l741,5,119,296000,1570426236702
l742,5,71,193000,1570426237264
l743,5,86,248000,1570426237988
l744,5,74,187000,1570426238685
l745,5,106,245000,1570426238970
l746,5,93,157000,1570426239251
l747,5,81,268000,1570426239536
l748,5,87,197000,1570426239817
l749,5,95,206000,1570426240100
l750,5,124,216000,1570426240381
l751,5,122,177000,1570426240670
l752,5,85,270000,1570426240967
l753,5,95,136000,1570426241253
l754,5,88,206000,1570426241554
l755,5,104,228000,1570426241851
l757,5,94,213000,1570426242381
l758,5,92,232000,1570426242667
l759,5,102,193000,1570426242952
l761,5,109,176000,1570426243255
l762,5,89,149000,1570426243541
l764,5,117,196000,1570426244125
l765,5,98,131000,1570426244433
l766,5,88,109000,1570426244715
l767,5,105,132000,1570426245006
l768,5,96,141000,1570426245313
l760,5,101,152000,1570426245691
l769,5,84,126000,1570426245989
l770,5,74,143000,1570426246283
l771,5,128,132000,1570426246589
l772,5,131,162000,1570426246873
l773,5,90,133000,1570426247184
l774,5,119,153000,1570426247476
l775,5,76,186000,1570426247778
l776,5,78,148000,1570426248073
l777,5,75,185000,1570426248361
l778,5,123,206000,1570426248668
l779,5,94,149000,1570426248950
l780,5,117,189000,1570426249242
l781,5,83,165000,1570426249527
l782,5,133,179000,1570426249811
l783,5,93,132000,1570426250089
l784,5,80,156000,1570426250376
l785,5,130,172000,1570426250662
l786,5,114,234000,1570426250942
l787,5,140,187000,1570426251221
l788,5,82,185000,1570426251507
l789,5,144,166000,1570426251797
l790,5,103,159000,1570426252087
l791,5,107,132000,1570426252376
l792,5,121,154000,1570426252662
l793,5,72,157000,1570426252948
l794,5,77,134000,1570426253239
l795,5,90,140000,1570426253529
l796,5,116,102000,1570426253837
l797,5,100,110000,1570426254124
l798,5,135,116000,1570426254427
l799,5,88,95000,1570426254750
l800,5,134,145000,1570426255042
l801,5,118,84000,1570426255331
l802,5,73,131000,1570426255617
l803,5,108,90000,1570426255912
l804,5,111,192000,1570426256213
l806,5,113,97000,1570426256812
l807,5,115,119000,1570426257116
l808,5,91,86000,1570426257411
l557,6,77,190000,1570426277691
l558,6,74,-1,1570426311978
l559,6,85,222000,1570426319947
l560,6,76,264000,1570426335335
l561,6,83,381000,1570426347511
l562,6,71,342000,1570426354010
l563,6,86,187000,1570426364940
l564,6,98,196000,1570426371961
l565,6,78,258000,1570426382881
l566,6,134,268000,1570426396623
l567,6,119,261000,1570426402220
l568,6,88,305000,1570426410700
l763,5,103,-1,-1
l570,6,94,320000,1570426424374
l571,6,73,269000,1570426431257
l572,6,133,153000,1570426439597
l573,6,105,181000,1570426448180
l574,6,107,178000,1570426454755
l575,6,92,295000,1570426461031
l576,6,103,263000,1570426479373
l577,6,100,194000,1570426484307
l578,6,106,226000,1570426493840
l579,6,84,300000,1570426513814
l580,6,96,280000,1570426524530
l581,6,118,202000,1570426529407
l582,6,82,392000,1570426539783
l583,6,80,261000,1570426547116
l584,6,75,150000,1570426550955
l585,6,121,273000,1570426556218
l586,6,129,276000,1570426561087
l587,6,101,200000,1570426566281
l588,6,130,326000,1570426582298
l589,6,72,207000,1570426587503
l590,6,144,-1,1570426590003
l591,6,93,239000,1570426595704
l593,6,81,393000,1570426609328
l594,6,114,370000,1570426617756
l595,6,116,236000,1570426623761
l596,6,87,256000,1570426627784
l597,6,138,249000,1570426631380
l598,6,128,154000,1570426634589
l599,6,135,195000,1570426638727
l600,6,89,193000,1570426642038
l601,6,115,225000,1570426647583
l602,6,124,-1,1570426653847
l603,6,113,202000,1570426656445
l604,6,104,134000,1570426659868
l605,6,108,132000,1570426662575
l606,6,122,137000,1570426665843
l607,6,99,266000,1570426670959
l608,6,111,294000,1570426677991
l609,6,91,152000,1570426681601
l610,6,132,258000,1570426685884
l611,6,131,-1,1570426687439
l612,6,137,283000,1570426694297
l613,6,117,-1,1570426697329
l614,6,125,251000,1570426702959
l615,6,95,253000,1570426707717
l616,6,97,178000,1570426711063
l617,6,90,342000,1570426720165
l618,6,79,175000,1570426725499
l619,6,126,172000,1570426729984
l620,6,110,133000,1570426733568
l621,6,109,217000,1570426739271
l622,6,145,223000,1570426743348
l623,6,123,151000,1570426747776
l624,6,140,176000,1570426751791
l625,6,102,110000,1570426755562
l626,6,112,131000,1570426761371
l627,6,136,104000,1570426765553
l628,6,141,107000,1570426768168
l629,6,143,267000,1570426775319
l926,6,143,421000,1570426781129
l927,6,143,310000,1570426785857
l910,6,134,224000,1570426789068
l911,6,77,195000,1570426793274
l912,6,119,201000,1570426796366
l913,6,129,190000,1570426800005
l914,6,94,230000,1570426802672
l915,6,88,186000,1570426805679
l916,6,85,219000,1570426809527
l917,6,76,211000,1570426812538
l918,6,83,198000,1570426814852
l919,6,219,268000,1570426817181
l920,6,138,242000,1570426820555
l921,6,86,309000,1570426824089
l922,6,98,172000,1570426825962
l923,6,71,195000,1570426827941
l924,6,105,329000,1570426831608
l925,6,133,329000,1570426835647
l809,6,143,340000,1570426838329
l810,6,143,406000,1570426840596
l630,7,159,277000,1570426851250
l631,7,170,322000,1570426860369
l632,7,155,295000,1570426867070
l633,7,146,200000,1570426874317
l634,7,157,325000,1570426883237
l635,7,171,241000,1570426892777
l636,7,152,194000,1570426899598
l637,7,167,149000,1570426900885
l811,7,148,167000,1570426904087
l812,7,153,176000,1570426907322
l813,7,156,124000,1570426911341
l814,7,149,369000,1570426919229
l815,7,151,162000,1570426926500
l816,7,168,158000,1570426931164
l817,7,169,255000,1570426935632
l818,7,150,226000,1570426939784
l819,7,167,254000,1570426947376
l820,7,146,335000,1570426951154
l821,7,152,205000,1570426957339
l822,7,159,261000,1570426960712
l823,7,157,344000,1570426963858
l824,7,155,395000,1570426969012
l825,7,170,396000,1570426973981
l826,7,146,376000,1570426978130
l827,7,155,402000,1570426995309
l885,7,196,446000,1570427005691
l886,7,196,540000,1570427018123
l887,7,196,422000,1570427032440
l1,-1,-1,-1,-1
l2,-1,-1,-1,-1
l3,-1,-1,-1,-1
l4,-1,-1,-1,-1
l5,-1,-1,-1,-1
l6,-1,-1,-1,-1
l7,-1,-1,-1,-1
l8,-1,-1,-1,-1
l9,-1,-1,-1,-1
l10,-1,-1,-1,-1
l11,-1,-1,-1,-1
l12,-1,-1,-1,-1
l13,-1,-1,-1,-1
l14,-1,-1,-1,-1
l15,-1,-1,-1,-1
l16,-1,-1,-1,-1
l17,-1,-1,-1,-1
l18,-1,-1,-1,-1
l19,-1,-1,-1,-1
l20,-1,-1,-1,-1
l21,-1,-1,-1,-1
l22,-1,-1,-1,-1
l23,-1,-1,-1,-1
l24,-1,-1,-1,-1
l25,-1,-1,-1,-1
l26,-1,-1,-1,-1
l27,-1,-1,-1,-1
l28,-1,-1,-1,-1
l29,-1,-1,-1,-1
l30,-1,-1,-1,-1
l31,-1,-1,-1,-1
l32,-1,-1,-1,-1
l33,-1,-1,-1,-1
l34,-1,-1,-1,-1
l35,-1,-1,-1,-1
l36,-1,-1,-1,-1
l37,-1,-1,-1,-1
l38,-1,-1,-1,-1
l39,-1,-1,-1,-1
l40,-1,-1,-1,-1
l41,-1,-1,-1,-1
l42,-1,-1,-1,-1
l43,-1,-1,-1,-1
l44,-1,-1,-1,-1
l45,-1,-1,-1,-1
l46,-1,-1,-1,-1
l47,-1,-1,-1,-1
l48,-1,-1,-1,-1
l49,-1,-1,-1,-1
l50,-1,-1,-1,-1
l51,-1,-1,-1,-1
l52,-1,-1,-1,-1
l53,-1,-1,-1,-1
l54,-1,-1,-1,-1
l55,-1,-1,-1,-1
l56,-1,-1,-1,-1
l57,-1,-1,-1,-1
l58,-1,-1,-1,-1
l59,-1,-1,-1,-1
l60,-1,-1,-1,-1
l61,-1,-1,-1,-1
l62,-1,-1,-1,-1
l63,-1,-1,-1,-1
l64,-1,-1,-1,-1
l65,-1,-1,-1,-1
l66,-1,-1,-1,-1
l67,-1,-1,-1,-1
l68,-1,-1,-1,-1
l69,-1,-1,-1,-1
l70,-1,-1,-1,-1
l71,-1,-1,-1,-1
l72,-1,-1,-1,-1
l73,-1,-1,-1,-1
l74,-1,-1,-1,-1
l75,-1,-1,-1,-1
l76,-1,-1,-1,-1
l77,-1,-1,-1,-1
l78,-1,-1,-1,-1
l79,-1,-1,-1,-1
l80,-1,-1,-1,-1
l81,-1,-1,-1,-1
l82,-1,-1,-1,-1
l83,-1,-1,-1,-1
l84,-1,-1,-1,-1
l85,-1,-1,-1,-1
l86,-1,-1,-1,-1
l87,-1,-1,-1,-1
l88,-1,-1,-1,-1
l89,-1,-1,-1,-1
l90,-1,-1,-1,-1
l91,-1,-1,-1,-1
l92,-1,-1,-1,-1
l93,-1,-1,-1,-1
l94,-1,-1,-1,-1
l95,-1,-1,-1,-1
l96,-1,-1,-1,-1
l97,-1,-1,-1,-1
l98,-1,-1,-1,-1
l99,-1,-1,-1,-1
l100,-1,-1,-1,-1
l101,-1,-1,-1,-1
l102,-1,-1,-1,-1
l103,-1,-1,-1,-1
l104,-1,-1,-1,-1
l105,-1,-1,-1,-1
l106,-1,-1,-1,-1
l107,-1,-1,-1,-1
l108,-1,-1,-1,-1
l109,-1,-1,-1,-1
l110,-1,-1,-1,-1
l111,-1,-1,-1,-1
l112,-1,-1,-1,-1
l113,-1,-1,-1,-1
l114,-1,-1,-1,-1
l115,-1,-1,-1,-1
l116,-1,-1,-1,-1
l117,-1,-1,-1,-1
l118,-1,-1,-1,-1
l119,-1,-1,-1,-1
l120,-1,-1,-1,-1
l121,-1,-1,-1,-1
l122,-1,-1,-1,-1
l123,-1,-1,-1,-1
l124,-1,-1,-1,-1
l125,-1,-1,-1,-1
l126,-1,-1,-1,-1
l127,-1,-1,-1,-1
l128,-1,-1,-1,-1
l129,-1,-1,-1,-1
l130,-1,-1,-1,-1
l131,-1,-1,-1,-1
l132,-1,-1,-1,-1
l133,-1,-1,-1,-1
l134,-1,-1,-1,-1
l135,-1,-1,-1,-1
l136,-1,-1,-1,-1
l137,-1,-1,-1,-1
l138,-1,-1,-1,-1
l139,-1,-1,-1,-1
l140,-1,-1,-1,-1
l141,-1,-1,-1,-1
l142,-1,-1,-1,-1
l143,-1,-1,-1,-1
l144,-1,-1,-1,-1
l145,-1,-1,-1,-1
l146,-1,-1,-1,-1
l147,-1,-1,-1,-1
l148,-1,-1,-1,-1
l149,-1,-1,-1,-1
l150,-1,-1,-1,-1
l151,-1,-1,-1,-1
l152,-1,-1,-1,-1
l153,-1,-1,-1,-1
l154,-1,-1,-1,-1
l155,-1,-1,-1,-1
l156,-1,-1,-1,-1
l157,-1,-1,-1,-1
l158,-1,-1,-1,-1
l159,-1,-1,-1,-1
l160,-1,-1,-1,-1
l161,-1,-1,-1,-1
l162,-1,-1,-1,-1
l163,-1,-1,-1,-1
l164,-1,-1,-1,-1
l165,-1,-1,-1,-1
l166,-1,-1,-1,-1
l167,-1,-1,-1,-1
l168,-1,-1,-1,-1
l169,-1,-1,-1,-1
l170,-1,-1,-1,-1
l171,-1,-1,-1,-1
l172,-1,-1,-1,-1
l173,-1,-1,-1,-1
l174,-1,-1,-1,-1
l175,-1,-1,-1,-1
l176,-1,-1,-1,-1
l177,-1,-1,-1,-1
l178,-1,-1,-1,-1
l179,-1,-1,-1,-1
l180,-1,-1,-1,-1
l181,-1,-1,-1,-1
l182,-1,-1,-1,-1
l183,-1,-1,-1,-1
l184,-1,-1,-1,-1
l185,-1,-1,-1,-1
l186,-1,-1,-1,-1
l187,-1,-1,-1,-1
l188,-1,-1,-1,-1
l189,-1,-1,-1,-1
l190,-1,-1,-1,-1
l191,-1,-1,-1,-1
l192,-1,-1,-1,-1
l193,-1,-1,-1,-1
l194,-1,-1,-1,-1
l195,-1,-1,-1,-1
l196,-1,-1,-1,-1
l197,-1,-1,-1,-1
l198,-1,-1,-1,-1
l199,-1,-1,-1,-1
l200,-1,-1,-1,-1
l201,-1,-1,-1,-1
l202,-1,-1,-1,-1
l203,-1,-1,-1,-1
l204,-1,-1,-1,-1
l205,-1,-1,-1,-1
l206,-1,-1,-1,-1
l207,-1,-1,-1,-1
l208,-1,-1,-1,-1
l209,-1,-1,-1,-1
l210,-1,-1,-1,-1
l211,-1,-1,-1,-1
l212,-1,-1,-1,-1
l213,-1,-1,-1,-1
l214,-1,-1,-1,-1
l215,-1,-1,-1,-1
l216,-1,-1,-1,-1
l217,-1,-1,-1,-1
l218,-1,-1,-1,-1
l219,-1,-1,-1,-1
l220,-1,-1,-1,-1
l221,-1,-1,-1,-1
l222,-1,-1,-1,-1
l223,-1,-1,-1,-1
l224,-1,-1,-1,-1
l225,-1,-1,-1,-1
l226,-1,-1,-1,-1
l227,-1,-1,-1,-1
l228,-1,-1,-1,-1
l229,-1,-1,-1,-1
l230,-1,-1,-1,-1
l231,-1,-1,-1,-1
l232,-1,-1,-1,-1
l233,-1,-1,-1,-1
l234,-1,-1,-1,-1
l235,-1,-1,-1,-1
l236,-1,-1,-1,-1
l237,-1,-1,-1,-1
l238,-1,-1,-1,-1
l239,-1,-1,-1,-1
l240,-1,-1,-1,-1
l241,-1,-1,-1,-1
l242,-1,-1,-1,-1
l243,-1,-1,-1,-1
l244,-1,-1,-1,-1
l245,-1,-1,-1,-1
l246,-1,-1,-1,-1
l247,-1,-1,-1,-1
l248,-1,-1,-1,-1
l249,-1,-1,-1,-1
l250,-1,-1,-1,-1
l251,-1,-1,-1,-1
l252,-1,-1,-1,-1
l253,-1,-1,-1,-1
l254,-1,-1,-1,-1
l255,-1,-1,-1,-1
l256,-1,-1,-1,-1
l257,-1,-1,-1,-1
l258,-1,-1,-1,-1
l259,-1,-1,-1,-1
l260,-1,-1,-1,-1
l261,-1,-1,-1,-1
l262,-1,-1,-1,-1
l263,-1,-1,-1,-1
l264,-1,-1,-1,-1
l265,-1,-1,-1,-1
l266,-1,-1,-1,-1
l267,-1,-1,-1,-1
l268,-1,-1,-1,-1
l269,-1,-1,-1,-1
l270,-1,-1,-1,-1
l271,-1,-1,-1,-1
l272,-1,-1,-1,-1
l273,-1,-1,-1,-1
l274,-1,-1,-1,-1
l275,-1,-1,-1,-1
l276,-1,-1,-1,-1
l277,-1,-1,-1,-1
l278,-1,-1,-1,-1
l279,-1,-1,-1,-1
l280,-1,-1,-1,-1
l281,-1,-1,-1,-1
l282,-1,-1,-1,-1
l283,-1,-1,-1,-1
l284,-1,-1,-1,-1
l285,-1,-1,-1,-1
l286,-1,-1,-1,-1
l287,-1,-1,-1,-1
l288,-1,-1,-1,-1
l289,-1,-1,-1,-1
l290,-1,-1,-1,-1
l291,-1,-1,-1,-1
l292,-1,-1,-1,-1
l293,-1,-1,-1,-1
l294,-1,-1,-1,-1
l295,-1,-1,-1,-1
l296,-1,-1,-1,-1
l297,-1,-1,-1,-1
l298,-1,-1,-1,-1
l299,-1,-1,-1,-1
l300,-1,-1,-1,-1
l301,-1,-1,-1,-1
l302,-1,-1,-1,-1
l303,-1,-1,-1,-1
l304,-1,-1,-1,-1
